add-none,2,100,400,156460,391,0
add-none,2,1000,4000,191129,47,0
add-none,2,10000,40000,452363,11,0
add-none,2,100000,400000,4209218,10,2
add-none,4,100,800,175541,219,0
add-none,4,1000,8000,202242,25,1
add-none,4,10000,80000,1089135,13,0
add-none,4,100000,800000,9693460,12,-5
add-none,8,100,1600,360805,225,1
add-none,8,1000,16000,321452,20,0
add-none,8,10000,160000,2237346,13,2
add-none,8,100000,1600000,17583991,10,3
add-none,12,100,2400,467671,194,0
add-none,12,1000,24000,421884,17,0
add-none,12,10000,240000,2855229,11,2
add-none,12,100000,2400000,27237424,11,17
add-yield-none,2,10,40,177464,4436,1
add-yield-none,4,10,80,164639,2057,2
add-yield-none,8,10,160,304789,1904,0
add-yield-none,12,10,240,418079,1741,1
add-yield-none,2,20,80,145957,1824,0
add-yield-none,4,20,160,206459,1290,1
add-yield-none,8,20,320,281221,878,3
add-yield-none,12,20,480,391049,814,7
add-yield-none,2,40,160,158418,990,0
add-yield-none,4,40,320,248590,776,0
add-yield-none,8,40,640,376477,588,1
add-yield-none,12,40,960,507964,529,2
add-yield-none,2,80,320,269102,840,0
add-yield-none,4,80,640,318654,497,2
add-yield-none,8,80,1280,425460,332,2
add-yield-none,12,80,1920,1681161,875,0
add-yield-none,2,100,400,291282,728,1
add-yield-none,4,100,800,318340,397,1
add-yield-none,8,100,1600,465718,291,0
add-yield-none,12,100,2400,516828,215,1
add-yield-none,2,1000,4000,1947306,486,1
add-yield-none,4,1000,8000,2067163,258,0
add-yield-none,8,1000,16000,2292594,143,1
add-yield-none,12,1000,24000,2786036,116,3
add-yield-none,2,10000,40000,17524220,438,2
add-yield-none,4,10000,80000,18570238,232,0
add-yield-none,8,10000,160000,19775773,123,1
add-yield-none,12,10000,240000,24914965,103,1
add-yield-none,2,100000,400000,171397970,428,3
add-yield-none,4,100000,800000,181382119,226,2
add-yield-none,8,100000,1600000,201022247,125,1
add-yield-none,12,100000,2400000,253874510,105,-2
add-none,2,100,400,163015,407,0
add-none,2,1000,4000,192882,48,0
add-none,2,10000,40000,562909,14,1
add-none,2,100000,400000,3688299,9,0
add-none,8,100,1600,322767,201,0
add-none,8,1000,16000,349407,21,1
add-none,8,10000,160000,2157851,13,0
add-none,8,100000,1600000,17437449,10,7
add-yield-none,2,100,400,313714,784,0
add-yield-none,2,1000,4000,1906898,476,0
add-yield-none,2,10000,40000,17628444,440,1
add-yield-none,2,100000,400000,170410444,426,0
add-yield-none,8,100,1600,467686,292,1
add-yield-none,8,1000,16000,2269124,141,1
add-yield-none,8,10000,160000,20511549,128,3
add-yield-none,8,100000,1600000,201879086,126,0
add-none,1,100,200,154944,774,0
add-none,1,1000,2000,159807,79,0
add-none,1,10000,20000,299809,14,0
add-none,1,100000,200000,1410644,7,0
add-none,1,1000000,2000000,12098151,6,0
add-yield-none,1,100,200,318460,1592,0
add-yield-none,1,1000,2000,1728006,864,0
add-yield-none,1,10000,20000,15011611,750,0
add-yield-none,1,100000,200000,151289280,756,0
add-yield-none,1,1000000,2000000,1487174764,743,0
add-yield-none,2,10000,40000,17479800,436,0
add-yield-none,4,10000,80000,18685402,233,0
add-yield-none,8,10000,160000,21543167,134,1
add-yield-none,12,10000,240000,25985851,108,1
add-yield-m,2,10000,40000,66489455,1662,0
add-yield-m,4,10000,80000,139599816,1744,0
add-yield-m,8,10000,160000,273565619,1709,0
add-yield-m,12,10000,240000,443135873,1846,0
add-yield-c,2,10000,40000,37559214,938,0
add-yield-c,4,10000,80000,74104841,926,0
add-yield-c,8,10000,160000,144485435,903,0
add-yield-c,12,10000,240000,200304721,834,0
add-yield-s,2,1000,4000,3416111,854,0
add-yield-s,4,1000,8000,10729649,1341,0
add-yield-s,8,1000,16000,28810935,1800,0
add-yield-s,12,1000,24000,48331363,2013,0
add-none,1,10000,20000,210958,10,0
add-none,2,10000,40000,465598,11,0
add-none,4,10000,80000,955917,11,1
add-none,8,10000,160000,1935719,12,2
add-none,12,10000,240000,2945066,12,-6
add-m,1,10000,20000,789621,39,0
add-m,2,10000,40000,3259967,81,0
add-m,4,10000,80000,15123323,189,0
add-m,8,10000,160000,35719750,223,0
add-m,12,10000,240000,55044518,229,0
add-c,1,10000,20000,524952,26,0
add-c,2,10000,40000,2083292,52,0
add-c,4,10000,80000,5097162,63,0
add-c,8,10000,160000,11853926,74,0
add-c,12,10000,240000,18717770,77,0
add-s,1,10000,20000,441913,22,0
add-s,2,10000,40000,5856767,146,0
add-s,4,10000,80000,23339110,291,0
add-s,8,10000,160000,84073047,525,0
add-s,12,10000,240000,188713055,786,0
