list-none-none,1,10,1,30,167481,5582
list-none-none,1,100,1,300,197611,658
list-none-none,1,1000,1,3000,3425259,1141
list-none-none,1,10000,1,30000,634930520,21164
list-none-none,1,20000,1,60000,3490768381,58179
list-none-none,2,1,1,6,82965,13827
list-none-none,2,10,1,60,142180,2369
list-none-none,2,100,1,600,660610,1101
list-none-none,2,1000,1,6000,36687358,6114
list-none-none,4,1,1,12,179799,14983
list-none-none,8,1,1,24,314538,13105
list-none-none,12,10,1,360,442679,1229
list-i-none,2,1,1,6,183827,30637
list-i-none,2,16,1,96,165067,1719
list-i-none,4,1,1,12,208749,17395
list-i-none,4,8,1,96,183221,1908
list-i-none,12,2,1,72,1618636,22481
list-d-none,2,1,1,6,116696,19449
list-d-none,2,4,1,24,115690,4820
list-d-none,4,1,1,12,196413,16367
list-d-none,4,2,1,24,177474,7394
list-d-none,4,4,1,48,161457,3363
list-d-none,4,16,1,192,249793,1301
list-d-none,8,1,1,24,324752,13531
list-d-none,8,2,1,48,285345,5944
list-d-none,12,1,1,36,438328,12175
list-d-none,12,2,1,72,382416,5311
list-d-none,12,4,1,144,426668,2962
list-d-none,12,8,1,288,409126,1420
list-il-none,2,1,1,6,132056,22009
list-il-none,2,4,1,24,121301,5054
list-il-none,2,32,1,192,680379,3543
list-il-none,4,1,1,12,195193,16266
list-il-none,4,2,1,24,180762,7531
list-il-none,4,4,1,48,175466,3655
list-il-none,8,1,1,24,297814,12408
list-il-none,8,4,1,96,332880,3467
list-dl-none,2,1,1,6,706445,117740
list-dl-none,2,4,1,24,120161,5006
list-dl-none,2,16,1,96,295041,3073
list-dl-none,2,32,1,192,750735,3910
list-dl-none,4,1,1,12,170501,14208
list-dl-none,4,2,1,24,143775,5990
list-dl-none,4,4,1,48,182072,3793
list-dl-none,8,1,1,24,309731,12905
list-dl-none,8,4,1,96,327635,3412
list-dl-none,12,1,1,36,465612,12933
list-dl-none,12,4,1,144,468232,3251
list-dl-none,12,8,1,288,508193,1764
list-i-m,12,32,1,1152,2262314,1963
list-d-m,12,32,1,1152,2319653,2013
list-il-m,12,32,1,1152,25615447,22235
list-dl-m,12,32,1,1152,9066093,7869
list-i-s,12,32,1,1152,3477301,3018
list-d-s,12,32,1,1152,3169573,2751
list-il-s,12,32,1,1152,36190718,31415
list-dl-s,12,32,1,1152,39007634,33860
list-none-m,1,1000,1,3000,3649321,1216
list-none-m,2,1000,1,6000,22522285,3753
list-none-m,4,1000,1,12000,88119227,7343
list-none-m,8,1000,1,24000,411434274,17143
list-none-m,12,1000,1,36000,1013919248,28164
list-none-m,16,1000,1,48000,2024930456,42186
list-none-m,24,1000,1,72000,4634676442,64370
list-none-s,1,1000,1,3000,3491876,1163
list-none-s,2,1000,1,6000,12161990,2026
list-none-s,4,1000,1,12000,160431869,13369
list-none-s,8,1000,1,24000,869547990,36231
list-none-s,12,1000,1,36000,2197685516,61046
list-none-s,16,1000,1,48000,4667697643,97243
list-none-s,24,1000,1,72000,13667854151,189831
